"b_id";"sg_id";"azimuth";"slope";"geometry"
2;122;66.29396954554696;8.029494935837548;POLYGON ((720566.975 5364971.572, 720568.285 5364972.149, 720567.374 5364974.225, 720566.063 5364973.649, 720566.975 5364971.572))
2;155;-113.69305094480616;8.033853606881777;POLYGON ((720568.285 5364972.149, 720569.593 5364972.726, 720568.691 5364974.803, 720567.374 5364974.225, 720568.285 5364972.149))
55;527;152.84728225922333;29.028940526279165;POLYGON ((720291.52 5364972.09, 720288.75 5364969.64, 720289.906 5364967.37, 720296.036 5364970.514, 720294.48 5364973.6, 720291.52 5364972.09))
55;640;-27.15194759640579;29.023703942132016;POLYGON ((720290.13 5364966.93, 720291.45 5364964.35, 720296.89 5364967.14, 720295.51 5364969.79, 720296.22 5364970.15, 720296.036 5364970.514, 720289.906 5364967.37, 720290.13 5364966.93))
145;863;-105.85274857340349;13.102297427202089;POLYGON ((720274.07 5364965.7, 720273.32 5364968.64, 720267.53 5364967.01, 720268.35 5364964.13, 720274.07 5364965.7))
199;1159;-112.7718019749894;23.86683941467078;POLYGON ((720641.728 5364952.73, 720648.382 5364950.064, 720641.286 5364966.968, 720639.425 5364966.185, 720636.581 5364964.989, 720641.728 5364952.73))
199;1178;157.1080213523004;24.115127761789196;POLYGON ((720634.477 5364948.212, 720637.5 5364949.488, 720636.168 5364952.658, 720633.139 5364951.379, 720634.477 5364948.212))
199;1210;-22.88447456994942;24.12084348993831;POLYGON ((720635.918 5364944.801, 720638.932 5364946.074, 720638.866 5364946.234, 720637.5 5364949.488, 720634.477 5364948.212, 720635.918 5364944.801))
199;1341;67.22856739880075;23.86210482661275;POLYGON ((720641.728 5364952.73, 720636.581 5364964.989, 720633.182 5364963.559, 720633.117 5364963.687, 720631.807 5364963.135, 720636.221 5364952.68, 720636.168 5364952.658, 720638.866 5364946.234, 720638.932 5364946.074, 720638.979 5364946.093, 720641.728 5364952.73))
3;149;-117.16758278562769;44.58812755131268;POLYGON ((720327.17 5364982.88, 720320.56 5364995.73, 720316.87 5364993.84, 720323.472 5364980.976, 720327.17 5364982.88))
3;218;62.83109815636922;44.68132079768525;POLYGON ((720313.18 5364991.95, 720319.79 5364979.08, 720323.472 5364980.976, 720316.87 5364993.84, 720313.18 5364991.95))
144;807;-112.89476233577564;23.834857228427765;POLYGON ((720663.16 5364969.586, 720664.776 5364970.27, 720662.854 5364974.878, 720664.537 5364975.578, 720659.692 5364977.798, 720663.16 5364969.586))
144;825;67.1052376642244;23.849589937657;POLYGON ((720663.16 5364969.586, 720659.692 5364977.798, 720657.905 5364972.798, 720659.852 5364968.186, 720663.16 5364969.586))
144;885;-22.80888632792005;22.071960947804243;POLYGON ((720657.905 5364972.798, 720659.692 5364977.798, 720656.382 5364976.406, 720657.905 5364972.798))
144;944;-22.761502394704706;22.082351971729395;POLYGON ((720664.537 5364975.578, 720672.204 5364978.766, 720670.673 5364982.416, 720659.692 5364977.798, 720664.537 5364975.578))
144;1156;157.14135560170752;22.049474227995958;POLYGON ((720670.673 5364982.416, 720669.156 5364986.034, 720654.856 5364980.019, 720656.382 5364976.406, 720659.692 5364977.798, 720670.673 5364982.416))
251;1335;;0.0;POLYGON ((720611.106 5364930.636, 720613.814 5364931.773, 720611.586 5364937.061, 720608.838 5364935.923, 720611.106 5364930.636))
302;1745;-22.831896935243208;30.024448202559157;POLYGON ((720567.193 5364900.747, 720569.981 5364901.887, 720568.801 5364904.687, 720566.024 5364903.517, 720567.193 5364900.747))
302;1763;157.16081374116658;30.022545720944194;POLYGON ((720566.024 5364903.517, 720568.801 5364904.687, 720567.631 5364907.461, 720564.853 5364906.291, 720566.024 5364903.517))
6;152;;0.0;POLYGON ((720303 5364988.93, 720308.63 5364990.4, 720306.88 5364997.05, 720301.26 5364995.59, 720303 5364988.93))
47;422;-105.76272214880865;13.102268019114547;POLYGON ((720273.32 5364968.64, 720272.25 5364972.32, 720266.5 5364970.65, 720267.53 5364967.01, 720273.32 5364968.64))
103;636;-22.683907100236752;32.581896912487004;POLYGON ((720579.099 5364945.133, 720580.554 5364941.622, 720580.82 5364941.733, 720580.201 5364943.21, 720585.037 5364945.222, 720585.718 5364943.582, 720587.798 5364948.769, 720579.099 5364945.133))
103;821;67.10606821646039;32.90167874675765;POLYGON ((720588.676 5364936.455, 720590.37 5364937.172, 720593.016 5364938.28, 720586.929 5364952.696, 720583.52 5364951.258, 720582.663 5364950.904, 720587.798 5364948.769, 720585.718 5364943.582, 720588.676 5364936.455))
103;888;157.31609289976325;32.56949896632759;POLYGON ((720579.099 5364945.133, 720587.798 5364948.769, 720582.663 5364950.904, 720577.688 5364948.848, 720577.579 5364948.804, 720579.099 5364945.133))
103;995;-112.88867884136849;32.909381895545316;POLYGON ((720593.016 5364938.28, 720597.303 5364940.076, 720591.213 5364954.501, 720586.929 5364952.696, 720593.016 5364938.28))
225;1328;;0.0;POLYGON ((720653.384 5364961.628, 720658.944 5364964.027, 720656.615 5364969.58, 720650.984 5364967.218, 720653.384 5364961.628))
278;1566;-14.744981490072831;34.76061288416781;POLYGON ((720292.1 5364988.13, 720302.46 5364990.87, 720301.364 5364995.038, 720291.002 5364992.311, 720292.1 5364988.13))
199;1600;-22.894918502036774;24.11338817874956;POLYGON ((720648.382 5364950.064, 720641.728 5364952.73, 720638.979 5364946.093, 720648.382 5364950.064))
12;824;-26.9828698338722;27.938001874037383;POLYGON ((720296.89 5364967.14, 720298.47 5364967.95, 720299.16 5364968.3, 720297.726 5364971.093, 720296.15 5364970.288, 720296.22 5364970.15, 720295.51 5364969.79, 720296.89 5364967.14))
342;2082;-112.95165779167864;25.874118326059317;POLYGON ((720555.106 5364889.777, 720561.115 5364892.311, 720557.996 5364899.606, 720556.124 5364898.822, 720552.78 5364906.75, 720548.667 5364905.019, 720555.106 5364889.777))
